schoolName,img,httpSrc,地点,title
浙江工业大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/1.jpg,https://mp.weixin.qq.com/s/ixEAukWt_DAu8RKk2HM1xQ,杭州,省重点建设高校
杭州电子科技大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/2.jpg,https://mp.weixin.qq.com/s/77sg1q0k2N6ccx8Q2JeVSA,杭州,省重点建设高校
浙江师范大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/66.jpg,https://mp.weixin.qq.com/s/rk2hN9XWZcTN60EF_Ukhfg,金华,省重点建设高校
杭州师范大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/5.jpg,https://mp.weixin.qq.com/s/xwN_ntBsgJtyQ31EGYQUqA,杭州,省重点建设高校
宁波大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/6.jpg,https://mp.weixin.qq.com/s/k_Do4XHPMJSKm3BwH1c1RQ,宁波,双一流学科建设高校
温州医科大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/7.jpg,https://mp.weixin.qq.com/s/UEwmpFDMYwYmZRA4E_3MKg,温州,省重点建设高校
浙江工商大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/8.jpg,https://mp.weixin.qq.com/s/ssvFy58I3JCHb9zmu9wcqQ,杭州,省重点建设高校
浙江财经大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/9.jpg,https://mp.weixin.qq.com/s/1WXuBnPfBBRLH0Hb_6WD_Q,杭州,省重点建设高校
浙江理工大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/10.jpg,https://mp.weixin.qq.com/s/orQwqmjFUdU269s_5HgWfg,杭州,省重点建设高校
浙江中医药大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/11.jpg,https://mp.weixin.qq.com/s/XXI6x4xRnFBga5NT5HQcjA,杭州,省重点建设高校
浙江农林大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/12.jpg,https://mp.weixin.qq.com/s/ct0sJu_Fiord48He_rMk-g,杭州,省重点建设高校
中国计量大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/13.jpg,https://mp.weixin.qq.com/s/6MKDoXEQJ_FT-PmF_dVi2A,杭州,省市共建重点高校
温州大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/14.jpg,https://mp.weixin.qq.com/s/gQ7R-X6xOtDGNUmq_rXn1A,温州,省市共建重点高校
浙江海洋大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/15.jpg,https://mp.weixin.qq.com/s/8wVGK0kR-dS2s7oZj2lP3Q,舟山,省市共建重点高校
中国美术学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/16.jpg,https://mp.weixin.qq.com/s/Wte13MgOr6wonb3MADahkw,杭州,双一流学科建设高校
宁波诺丁汉大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/17.jpg,https://mp.weixin.qq.com/s/hU7NFUCvzrNJy8S5QA-ekA,宁波,中外合作办学
温州肯恩大学,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/18.jpg,https://mp.weixin.qq.com/s/A01ML7pUWJXn9bux-IsnaA,温州,中外合作办学
浙江科技学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/19.jpg,https://mp.weixin.qq.com/s/7NTeKuOJy5uXSR02dbkDfQ,杭州,
浙大城市学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/20.jpg,https://mp.weixin.qq.com/s/dWrvaj70bOmuFiNiV1k-Ew,宁波,
浙江水利水电学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/21.jpg,https://mp.weixin.qq.com/s/Wm-0Jgh6H5UYykvlLlbt8g,杭州,
浙大宁波理工学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/22.jpg,https://mp.weixin.qq.com/s/V4_saVKEoPuBbxx6yqYG-A,宁波,
湖州师范学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/23.jpg,https://mp.weixin.qq.com/s/G9GgkM5eISF7VI9-z8dqIg,湖州,
绍兴文理学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/24.jpg,https://mp.weixin.qq.com/s/VImzLWWftUF8rfY6f_68rQ,绍兴,
嘉兴学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/25.jpg,https://mp.weixin.qq.com/s/P-kbM4K55k-x6iKAyXkzEg,嘉兴,
台州学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/26.jpg,https://mp.weixin.qq.com/s/0ov4rmky__kpmGuTBrerkQ,台州,
丽水学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/27.jpg,https://mp.weixin.qq.com/s/nLwh17iTVLf0TV3-ULqpWg,丽水,
衢州学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/28.jpg,https://mp.weixin.qq.com/s/p0qRQnejMkGhaggbdF6fRA,衢州,
温州理工学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/29.jpg,https://mp.weixin.qq.com/s/jsVJJJB5eqAEZAgEgPV0ew,温州,
嘉兴南湖学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/30.jpg,https://mp.weixin.qq.com/s/RcY2eECaHsrFZ2rwkTC5mA,嘉兴,
湖州学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/31.jpg,https://mp.weixin.qq.com/s/3zc9LdHfpz-NxMY9G0GNNg,湖州,
宁波工程学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/32.jpg,https://mp.weixin.qq.com/s/GiyHvdEZrxFZX7XVGO63NA,宁波,
浙江万里学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/33.jpg,https://mp.weixin.qq.com/s/c1bqC7Cz2mPSEf85hkJvLQ,宁波,
杭州医学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/34.jpg,https://mp.weixin.qq.com/s/VEGn1QUDoaF9uW9nIESdww,杭州,
浙江警察学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/35.jpg,https://mp.weixin.qq.com/s/WG2iMT3w1YeUcIOuxUDPsg,宁波,
宁波大学科学技术学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/36.jpg,https://mp.weixin.qq.com/s/KZLikAbsqTnXJ-Y0x-CRQw,宁波,
宁波财经学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/37.jpg,https://mp.weixin.qq.com/s/KD5QCRVagucDxJYh2O1stw,杭州,
浙江越秀外国语学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/38.jpg,https://mp.weixin.qq.com/s/bq8YQBtliK3w0x1rFkQzCQ,绍兴,民办学校
温州商学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/39.jpg,https://mp.weixin.qq.com/s/q1v6m22a3e52JaEBMzJ_ZQ,温州,民办学校
金华职业技术学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/40.jpg,https://mp.weixin.qq.com/s/BgTWR9kqQMKNEE1z1Q7Deg,金华,
宁波幼儿师范高等专科学校,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/41.jpg,https://mp.weixin.qq.com/s/995RNelhulxCXM0SIg1P1Q,宁波,
浙江外国语学院,cloud://cloud1-4gqgjuja8659ac02.636c-cloud1-4gqgjuja8659ac02-1317973844/school_icon/42.jpg,https://mp.weixin.qq.com/s/C3czHoVkG4URy3tHWocOGg,杭州,
